player_name,TEAM,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,type,drtg,adrtg,dporpag,stops,mp,oreb,dreb,treb,ast,stl,blk,pts
Chevez Goodwin,USC,P12,33,36.7,102.2,21.0,53.8,54.24,10.5,15.8,6.3,19.4,31,58,0.534,77,142,0.542,0,1,0.0,2.3,1.2,40.6,Sr,9-Jun,1.23928,109.573,5.6,2022,46358,all,95.4158,88.8356,1.95798,93.9338,14.9091,1.303,2.1818,3.4848,0.4848,0.303,0.3333,5.6061
Jacob Young,Oregon,P12,28,75.0,98.0,27.0,51.7,54.41,1.1,5.9,23.3,21.4,61,84,0.726,121,240,0.504,31,84,0.369,0.3,3.3,25.9,Sr,2-Jun,2.88591,112.97,2.5,2022,47191,all,101.416,93.4522,3.51999,141.196,30.1429,0.2857,1.6071,1.8929,3.3571,1.7143,0.0714,14.1429
Xzavier Malone-Key,Oregon St.,P12,26,64.9,107.5,21.8,54.6,56.93,2.5,10.4,14.4,15.8,61,92,0.663,86,156,0.551,30,84,0.357,0.4,1.0,38.3,Sr,4-Jun,2.15693,106.839,2.4,2022,47772,all,102.5486149405863,102.52320046210707,1.454481953287563,60.69836936250312,17.025967088941663,0.7216740036949024,1.9957644761150686,2.717427922934817,1.081376510952756,0.5408927157561374,0.26356426497756813,5.890557640538397
Jordan Shepherd,California,P12,24,83.2,95.8,22.2,48.3,53.78,0.8,12.1,19.7,20.6,76,104,0.731,82,162,0.506,13,48,0.271,1.3,2.2,49.5,Sr,4-Jun,1.51247,98.3586,2.1,2022,48004,all,101.288,102.276,2.88347,142.059,34.28,0.2,3.28,3.48,2.88,1.36,0.48,11.92
Makale Foreman,California,P12,28,51.3,94.0,21.5,44.0,47.92,1.5,5.7,15.0,15.2,31,35,0.886,21,58,0.362,42,133,0.316,0.0,1.3,18.3,Sr,1-Jun,1.11509,100.904,2.5,2022,49015,all,109.675,102.839,1.7399,80.8959,20.5862,0.2414,0.9655,1.2069,1.5517,0.4828,0.0,7.2069
Justin Kier,Arizona,P12,25,77.1,94.7,16.7,48.7,52.54,1.3,11.9,12.9,25.3,45,60,0.75,41,97,0.423,37,101,0.366,0.3,2.9,30.3,Sr,4-Jun,1.04136,94.985,2.4,2022,49529,all,103.46,99.1637,3.00683,155.465,31.0,0.36,3.32,3.68,2.4,1.72,0.08,9.52
Grant Anticevich,California,P12,24,64.1,97.9,18.5,48.3,50.86,3.1,16.9,13.4,16.4,24,28,0.857,53,123,0.431,30,80,0.375,1.5,0.9,13.8,Sr,8-Jun,1.72063,101.83,3.2,2022,50227,all,106.185,99.1863,2.91391,119.772,29.4,0.76,3.76,4.52,1.76,0.48,0.44,8.88
Eric Williams Jr.,Oregon,P12,24,66.0,106.2,18.7,46.6,50.44,7.3,16.4,9.0,13.6,46,63,0.73,50,117,0.427,31,90,0.344,1.9,1.1,30.4,Sr,6-Jun,2.57871,109.39,2.7,2022,50314,all,103.026,96.5115,3.28493,124.928,30.7917,1.8333,4.125,5.9583,1.625,0.5833,0.5,9.9583
Marco Anthony,Utah,P12,28,80.0,99.6,19.2,45.7,48.58,5.3,11.6,17.9,19.1,56,91,0.615,81,184,0.44,21,62,0.339,1.6,1.6,37.0,Sr,5-Jun,1.61411,99.7921,2.2,2022,50369,all,93.349,91.4251,3.97864,163.317,32.0,1.5,3.3214,4.8214,3.1429,0.8929,0.4286,10.0357
Matt DeWolf,Washington St.,P12,23,24.9,90.2,18.7,49.1,51.07,9.6,16.0,17.5,30.7,10,16,0.625,27,55,0.491,1,3,0.333,1.7,2.4,27.6,Sr,9-Jun,0.116428,88.3206,3.6,2022,50452,all,102.5486149405863,102.52320046210707,1.454481953287563,60.69836936250312,17.025967088941663,0.7216740036949024,1.9957644761150686,2.717427922934817,1.081376510952756,0.5408927157561374,0.26356426497756813,5.890557640538397
David Jenkins Jr.,Utah,P12,25,74.3,102.3,25.4,49.8,52.56,1.6,8.1,10.8,14.0,49,64,0.766,56,146,0.384,67,168,0.399,0.3,0.8,20.4,Sr,2-Jun,2.67218,111.167,2.9,2022,51013,all,110.725,109.592,1.82167,101.079,29.2593,0.3704,2.0,2.3704,1.6296,0.4074,0.0741,14.7778
Daejon Davis,Washington,P12,13,32.1,105.3,21.4,52.0,56.98,2.2,11.5,22.0,19.9,30,37,0.811,31,61,0.508,14,39,0.359,0.0,2.1,37.0,Sr,3-Jun,2.58732,113.507,3.2,2022,51639,all,100.328,94.2704,3.02087,63.4249,27.1538,0.4615,2.7692,3.2308,2.9231,1.0,0.0,10.3077
